"timestamp","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5"
"2019-01-01",TRUE,FALSE,FALSE,FALSE,FALSE
"2019-01-02",TRUE,FALSE,FALSE,FALSE,FALSE
"2019-01-03",TRUE,FALSE,FALSE,FALSE,FALSE
"2019-01-04",FALSE,FALSE,TRUE,FALSE,FALSE
"2019-01-05",FALSE,TRUE,FALSE,FALSE,FALSE
"2019-01-06",TRUE,FALSE,FALSE,FALSE,FALSE
"2019-01-07",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-08",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-09",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-10",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-11",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-12",FALSE,TRUE,FALSE,FALSE,FALSE
"2019-01-13",TRUE,FALSE,FALSE,FALSE,FALSE
"2019-01-14",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-15",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-16",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-17",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-18",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-19",FALSE,TRUE,FALSE,FALSE,FALSE
"2019-01-20",TRUE,FALSE,FALSE,FALSE,FALSE
"2019-01-21",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-22",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-23",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-24",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-25",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-26",FALSE,TRUE,FALSE,FALSE,FALSE
"2019-01-27",TRUE,FALSE,FALSE,FALSE,FALSE
"2019-01-28",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-29",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-30",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-01-31",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-02-01",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-02-02",FALSE,TRUE,FALSE,FALSE,FALSE
"2019-02-03",TRUE,FALSE,FALSE,FALSE,FALSE
"2019-02-04",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-02-05",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-02-06",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-02-07",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-02-08",FALSE,FALSE,FALSE,TRUE,FALSE
"2019-02-09",FALSE,TRUE,FALSE,FALSE,FALSE
